Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Cloudphysician,Series B,4000000,Bangalore,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,Healthcare,2021,2017,Elevar equity
Wiggles.in,Series B,5500000,Pune,Wiggles india is a preventative healthcare brand for all things pets!,Veterinary,2021,2018,Anthill ventures
Avanti finance,Series A,15000000,Bangalore,A digital platform to make financial services accessible to 100 million unserved and underserved households across india,Financial services,2021,2017,Oikocredit
Vanity wagon,Series B,700000,New delhi,Vanity wagon is india's first true information oriented clean beauty marketplace.,Consumer goods,2021,2018,Inflection point ventures
Purplle,Undisclosed,70000000,Mumbai,Purplle.com is one of india’s largest e-beauty destinations with more than 7 million monthly active users.,E-commerce,2021,2012,Kedaara
Wallmantra,Undisclosed,0,Noida,Wallmantra is a well reputed wall decoration online store in india.,Arts & crafts,2021,2013,Velocity
Mfine,Series C,48000000,Bangalore,"Mfine aims to make access to trusted healthcare simple, fast, and effective.",Healthcare,2021,2017,Moore strategic ventures
Aquatein,Seed,0,Mumbai,India's first protein water in 21g and 10g variants with bcaa.,Food and Beverages,2021,2019,Eaglewings ventures
Mentza,Seed,400000,Mumbai,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform",E-learning,2021,2020,Inflection point ventures
Connectedh,Seed,2300000,Gurugram,Connect different sectors of healthcare system and give the patients complete control over their information.,Healthcare,2021,2018,Kalaari capital
Credavenue,Series A,90000000,Chennai,Credavenue is an organization on a mission to deepen and power the $120trillion global enterprise debt market which would unlock a gdp multiplier and thus create massive economic value.,Fintech,2021,2017,Sequoia capital
Vedantu,Series D,100000000,Bangalore,Vedantu is a live online learning platform that brings together students and teachers to achieve best results.,E-learning,2021,2011,Abc world asia
Exotel,Series C,35000000,Bangalore,"Asia's largest customer engagement platform, streamlining customer interactions for swiggy, ola, flipkart, gojek etc.",Telecommunications,2021,2011,Iifl amc
Fantasy akhada,Series A,2000000,Gurugram,Fantasy akhada is one of india's fastest growing fantasy sports platform.,Sports,2021,2020,Prime securities limited
Meesho,Undisclosed,570000000,Bangalore,Meesho is india’s largest marketplace for longtail products.,Social commerce,2021,2015,Fidelity
Pumpumpum,Undisclosed,0,Gurugram,Pumpumpum is empowering millennials with a smart car subscription model. we provide monthly subscription of pre-owned cars at affordable rates.,Automotive,2021,2018,Lc nueva aif
